Symbol,Exchange,ScripCode,Company Name,ISIN Code,Segment,YF
GLOBALLOG,BSE,544665,Global Ocean Logistics India Ltd,INE1ITY01011,BSE SME,GLOBALLOG.BO
GLOBTIER,BSE,544494,Globtier Infotech Ltd,INE12P601017,BSE SME,GLOBTIER.BO
GLPL,BSE,544759,Goldline Pharmaceutical Ltd,INE1CLW01015,BSE SME,GLPL.BO
GMPL,BSE,543239,G M Polyplast Ltd,INE0E2801015,BSE SME,GMPL.BO
GOBLIN,BSE,542850,Goblin India Ltd,INE492Z01018,BSE SME,GOBLIN.BO
GOEL,BSE,543538,Goel Food Products Ltd,INE0K6L01010,BSE SME,GOEL.BO
GOELCONS,BSE,544504,Goel Construction Company Ltd,INE0ZOM01013,BSE SME,GOELCONS.BO
GPAPL,BSE,544548,Gujarat Peanut And Agri Products Ltd,INE0SIK01014,BSE SME,GPAPL.BO
GPSL,BSE,544108,Gabriel Pet Straps Ltd,INE0QZF01012,BSE SME,GPSL.BO
GRERENEW,BSE,544682,GRE Renew Enertech Ltd,INE0U8P01015,BSE SME,GRERENEW.BO
GTIL,BSE,544675,Gabion Technologies India Ltd,INE1H1501013,BSE SME,GTIL.BO
GUJHYSPIN,BSE,540938,Gujarat Hy-Spin Ltd,INE578V01013,BSE SME,GUJHYSPIN.BO
GULFLLOYDS,BSE,544834,Gulf Lloyds (India) Ltd,INE1WDC01012,BSE SME,GULFLLOYDS.BO
GVL,BSE,544163,Greenhitech Ventures Ltd,INE0S0701019,BSE SME,GVL.BO
HAMPS,BSE,544312,Hamps Bio Ltd,INE0QBD01018,BSE SME,HAMPS.BO
HANMAN,BSE,538731,Hanman Fit Ltd,INE982Q01017,BSE SME,HANMAN.BO
HANNAH,BSE,544687,Hannah Joseph Hospital Ltd,INE0JVH01012,BSE SME,HANNAH.BO
HARIKANTA,BSE,544769,Harikanta Overseas Ltd,INE1UYW01010,BSE SME,HARIKANTA.BO
HARSHDEEP,BSE,544105,Harshdeep Hortico Ltd,INE0OLZ01015,BSE SME,HARSHDEEP.BO
HASJUICE,BSE,780014,Has Lifestyle Ltd,INE888Q01016,BSE SME,HASJUICE.BO
HBEL,BSE,542592,Humming Bird Education Ltd,INE02PC01027,BSE SME,HBEL.BO
HEALTHYLIFE,BSE,543546,Healthy Life Agritec Ltd,INE0L3501015,BSE SME,HEALTHYLIFE.BO
HELLOJI,BSE,544630,Helloji Holidays Ltd,INE1FJE01010,BSE SME,HELLOJI.BO
HIGHNESS,BSE,544741,Highness Microelectronics Ltd,INE1KI801019,BSE SME,HIGHNESS.BO
HMEML,BSE,544349,H.M. Electro Mech Ltd,INE0DZD01015,BSE SME,HMEML.BO
HORIZON,BSE,544794,Horizon Reclaim (India) Ltd,INE1SEO01013,BSE SME,HORIZON.BO
HRHYGIENE,BSE,544848,H. R. Hygiene Products Ltd,INE17DP01015,BSE SME,HRHYGIENE.BO
HRS,BSE,544656,HRS Aluglaze Ltd,INE1E1V01017,BSE SME,HRS.BO
HSIL,BSE,543916,Hemant Surgical Industries Ltd,INE0GYI01028,BSE SME,HSIL.BO
ICODEX,BSE,544483,Icodex Publishing Solutions Ltd,INE111601014,BSE SME,ICODEX.BO
ICON,BSE,544426,Icon Facilitators Ltd,INE0Y0E01012,BSE SME,ICON.BO
IDENTIXWEB,BSE,544388,Identixweb Ltd,INE0PA401012,BSE SME,IDENTIXWEB.BO
INDOBELL,BSE,544334,Indobell Insulations Ltd,INE0FK501019,BSE SME,INDOBELL.BO
INDONG,BSE,543769,Indong Tea Company Ltd,INE0KN201016,BSE SME,INDONG.BO
INDOSMC,BSE,544681,INDO SMC Ltd,INE0WKY01013,BSE SME,INDOSMC.BO
INFINITY,BSE,544567,Infinity Infoway Ltd,INE16XA01017,BSE SME,INFINITY.BO
INFLAME,BSE,541083,Inflame Appliances Ltd,INE464Z01017,BSE SME,INFLAME.BO
INFONATIVE,BSE,544393,Infonative Solutions Ltd,INE12IB01015,BSE SME,INFONATIVE.BO
INNOKAIZ,BSE,543905,Innokaiz India Ltd,INE0LDI01022,BSE SME,INNOKAIZ.BO
INNOVATIVE,BSE,541983,Innovative Ideals and Services (India) Ltd,INE492Y01011,BSE SME,INNOVATIVE.BO
INNOVATORS,BSE,541353,Innovators Facade Systems Ltd,INE870Z01015,BSE SME,INNOVATORS.BO
ITCONS,BSE,543806,ITCONS E-Solutions Ltd,INE0O6A01019,BSE SME,ITCONS.BO
JAYANT,BSE,543544,Jayant Infratech Ltd,INE0KR801019,BSE SME,JAYANT.BO
JAYKAILASH,BSE,544160,Jay Kailash Namkeen Ltd,INE0MSS01019,BSE SME,JAYKAILASH.BO
JDCABLES,BSE,544524,JD Cables Ltd,INE14VP01014,BSE SME,JDCABLES.BO
JETSOLAR,BSE,538794,Jet Solar Ltd,INE155R01018,BSE SME,JETSOLAR.BO
JFL,BSE,540850,Jhandewalas Foods Ltd,INE841Y01019,BSE SME,JFL.BO
JIGAR,BSE,540651,Jigar Cables Ltd,INE943X01015,BSE SME,JIGAR.BO
JIVIAL,BSE,544805,Jivial Industries Ltd,INE0V3T01017,BSE SME,JIVIAL.BO
JOINTECAED,BSE,534659,Jointeca Education Solutions Ltd,INE131N01018,BSE SME,JOINTECAED.BO
JONJUA,BSE,542446,Jonjua Overseas Ltd,INE793Z01027,BSE SME,JONJUA.BO
JSHL,BSE,538765,JLA Infraville Shoppers Ltd,INE401Q01018,BSE SME,JSHL.BO
JUNGLECAMP,BSE,544304,Jungle Camps India Ltd,INE0WCH01015,BSE SME,JUNGLECAMP.BO
JUSTO,BSE,544542,Justo Realfintech Ltd,INE0W5Q01017,BSE SME,JUSTO.BO
KAARYAFSL,BSE,540756,Kaarya Facilities and Services Ltd,INE282Y01016,BSE SME,KAARYAFSL.BO
KAHAN,BSE,543979,Kahan Packaging Ltd,INE04T901017,BSE SME,KAHAN.BO
